team,pick_year,round,expected_pick_number,protection_note
Indiana Pacers,2029,2,,More favorable of IND and WAS then other to POR (via IND to NYK)
Indiana Pacers,2030,1,,Own
Indiana Pacers,2030,2,,Own
Indiana Pacers,2031,1,,To LAC if IND does not convey 1st round pick to LAC in 2026
Indiana Pacers,2031,2,,"Least favorable of IND, MIA and MEM; more favorable of IND and MIA to WAS; more favorable of MEM and less favorable of IND and MIA to MEM (via MIA swap for IND; via UTH to WAS; via MEM swap for IND or MIA)"
Indiana Pacers,2032,1,,Own
Indiana Pacers,2032,2,,Own
Los Angeles Clippers,2026,1,,"Most favorable of LAC, HOU 5-30 and OKC to OKC; second most / more favorable to PHL and least / less favorable to DAL; IND 5-9"
Los Angeles Clippers,2026,2,,"Less favorable of LAC and most favorable of BOS, IND and MIA to BRK then most favorable of all to MEM; CLE; MEM 31-42 (via UTH to ATL)"
Los Angeles Clippers,2027,1,,"Least / less favorable of LAC, DEN 6-30 and OKC then other(s) to OKC (via OKC swap of OKC or DEN for LAC)"
Los Angeles Clippers,2027,2,,To UTH (via ATL to LAC)
Los Angeles Clippers,2028,1,,To PHL
Los Angeles Clippers,2028,2,,More favorable of LAC and CHA to CHA then other to DET; DAL (via SAC to IND)
Los Angeles Clippers,2029,1,,1-3 Own; 4-30 Own or PHL (via PHL swap for LAC); IND
Los Angeles Clippers,2029,2,,To SAN (via PHL)
Los Angeles Clippers,2030,1,,Own
Los Angeles Clippers,2030,2,,More favorable of LAC and UTH to CHA then other to LAC (via LAC to UTH)
Los Angeles Clippers,2031,1,,Own; IND if IND does not convey 1st round pick to LAC in 2026
Los Angeles Clippers,2031,2,,Own
Los Angeles Clippers,2032,1,,Own
Los Angeles Clippers,2032,2,,Own
Los Angeles Lakers,2026,1,,Own
Los Angeles Lakers,2026,2,,To GOS (via CLE to MIA to TOR)
Los Angeles Lakers,2027,1,,1-4 Own; 5-30 to MEM (via UTH)
Los Angeles Lakers,2027,2,,To BRK if LAL conveys 1st round pick to MEM in 2027 or to MEM if LAL does not convey 1st round pick to MEM in 2027 (via UTH to MEM)
Los Angeles Lakers,2028,1,,Own
Los Angeles Lakers,2028,2,,More favorable of LAL and WAS to ORL then other to WAS (via WAS to LAL to ORL; via LAL to WAS)
Los Angeles Lakers,2029,1,,To DAL
Los Angeles Lakers,2029,2,,To WAS
Los Angeles Lakers,2030,1,,Own
Los Angeles Lakers,2030,2,,To BRK
Los Angeles Lakers,2031,1,,Own
Los Angeles Lakers,2031,2,,To BRK
Los Angeles Lakers,2032,1,,Own
Los Angeles Lakers,2032,2,,To ATL
Memphis Grizzlies,2026,1,,"Two most favorable of MEM, less favorable of PHX and WAS 1-8, and ORL then least favorable of all to CHA (via WAS swap for PHX; via MEM swap of ORL for PHX or WAS; via PHX to CHA)"
Memphis Grizzlies,2026,2,,"31-42 to LAC (via UTH to ATL); 43-60 to POR (via UTH to GOS); Most favorable of LAC, BOS, IND and MIA (via MIA to IND; via MIL to MEM; via MEM swap of IND or MIA for BOS; via MEM swap of BOS, IND or MIA for LAC)"
Memphis Grizzlies,2027,1,,"Own; LAL 5-30; Most favorable of UTH, CLE and MIN (via UTH)"
Memphis Grizzlies,2027,2,,To HOU (via LAC); LAL if LAL does not convey 1st round pick to MEM in 2027 (via UTH)
Memphis Grizzlies,2028,1,,Own
Memphis Grizzlies,2028,2,,To BRK (via PHX)
Memphis Grizzlies,2029,1,,Own or swap for ORL 3-30
