team,pick_year,round,expected_pick_number,protection_note,strength_rank,ev_points,years_out,discount_factor,pv_ev_points
Detroit Pistons,2026,2,46,"Most favorable of DET, ORL and MIL to BOS; second most favorable to ORL and least favorable to NOP (via MIL to ORL; via DET to LAC to ORL); CHA 56-60 (via NYK to ATL to SAN to SAC)",16,12.69230769230769,0,1.0,12.69230769230769
Detroit Pistons,2027,1,16,Own,16,30.0,1,0.9090909090909091,27.272727272727273
Detroit Pistons,2027,2,46,Own; Less favorable of BRK and DAL (via DAL to BRK to DET); MIL (via PHL),16,12.69230769230769,1,0.9090909090909091,11.538461538461537
Detroit Pistons,2028,1,16,Own,16,30.0,2,0.8264462809917354,24.793388429752063
Detroit Pistons,2028,2,46,31-55 Own*; 56-60 to PHL; Less favorable of CHA and LAC*; MIA* if DAL conveys 1st round pick to CHA in 2027; NYK* (*Least favorable of these to UTH),16,12.69230769230769,2,0.8264462809917354,10.489510489510486
Detroit Pistons,2029,1,16,Own,16,30.0,3,0.7513148009015775,22.539444027047328
Detroit Pistons,2029,2,46,"Two most favorable of DET, MIL and NYK then other to CHI (via MIL to BRK to DET; via NYK to DET; via SAC to CHI)",16,12.69230769230769,3,0.7513148009015775,9.535918626827714
Detroit Pistons,2030,1,16,Own,16,30.0,4,0.6830134553650705,20.490403660952115
Detroit Pistons,2030,2,46,Own; MIN,16,12.69230769230769,4,0.6830134553650705,8.669016933479739
Detroit Pistons,2031,1,16,Own,16,30.0,5,0.6209213230591549,18.627639691774647
Detroit Pistons,2031,2,46,Own; DAL (via PHL); Less favorable of GOS and MIN (via MIN swap for GOS),16,12.69230769230769,5,0.6209213230591549,7.8809244849815805
Detroit Pistons,2032,1,16,Own,16,30.0,6,0.5644739300537772,16.934217901613316
Detroit Pistons,2032,2,46,Own,16,12.69230769230769,6,0.5644739300537772,7.164476804528709
Golden State Warriors,2026,1,22,Own,22,23.571428571428573,0,1.0,23.571428571428573
Golden State Warriors,2026,2,52,More favorable of GOS and DEN to CHA then other to CHI; LAL (via CLE to MIA to TOR),22,11.379310344827587,0,1.0,11.379310344827587
Golden State Warriors,2027,1,22,Own,22,23.571428571428573,1,0.9090909090909091,21.42857142857143
Golden State Warriors,2027,2,52,More favorable of GOS and PHX to PHL then other to WAS (via WAS),22,11.379310344827587,1,0.9090909090909091,10.344827586206897
Golden State Warriors,2028,1,22,Own,22,23.571428571428573,2,0.8264462809917354,19.48051948051948
Golden State Warriors,2028,2,52,To PHL (via POR to WAS),22,11.379310344827587,2,0.8264462809917354,9.404388714733543
Golden State Warriors,2029,1,22,Own,22,23.571428571428573,3,0.7513148009015775,17.709563164108616
Golden State Warriors,2029,2,52,To BRK,22,11.379310344827587,3,0.7513148009015775,8.5494442861214
Golden State Warriors,2030,1,22,1-20 Own; 21-30 to DAL (via WAS),22,23.571428571428573,4,0.6830134553650705,16.099602876462377
